id,country,managed_by,fulfill_via,vendor_inco_term,shipment_mode,late_delivery,late,product_group,sub_classification,vendor,item_description,molecule_test_type,brand,dosage,dosage_form,unit_of_measure_per_pack,line_item_quantity,line_item_value,pack_price,unit_price,unit_cost,manufacturing_site,first_line_designation,weight_kilograms,freight_cost_usd,freight_cost_groups,line_item_insurance_usd
61998,Ethiopia,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20,340,9860,29,1.45,,Chembio Diagnostics Sys. Inc.,Yes,128,810.96,reasonable,13.82
38045,Haiti,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 50mg, dispersible tablets (tablets for oral suspension), 30 Tabs",Nevirapine,Generic,50mg,Chewable/dispersible tablet,30,2118,2647.5,1.25,0.04,,"Aurobindo Unit III, India",Yes,134,1987.82,reasonable,2.72
18980,Tanzania,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,336,26880,80,0.8,,"Alere Medical Co., Ltd.",Yes,139,2234.96,reasonable,27.63
72981,South Africa,PMO - US,Direct Drop,DDP,Ocean,1,Yes,ARV,Adult,EMCURE PHARMACEUTICALS LTD,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,47963,206240.9,4.3,0.14,,"Emcure Plot No.P-2, I.T-B.T. Park, Phase II, MIDC, Hinjwadi, Pune, India",Yes,3789,9582.55,expensive,340.3
63939,Cote d'Ivoire,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20,167,4843,29,1.45,,Chembio Diagnostics Sys. Inc.,Yes,50,1128.74,reasonable,7.99
39556,Namibia,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20,750,24000,32,1.6,,"Trinity Biotech, Plc",Yes,248,6654.24,expensive,39.6
19344,Guyana,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Pediatric,CIPLA LIMITED,"Lamivudine/Nevirapine/Stavudine 60/100/12mg, dispersible tablets, 60 Tabs",Lamivudine/Nevirapine/Stavudine,Generic,60/100/12mg,Chewable/dispersible tablet - FDC,60,90,387,4.3,0.07,,"Cipla, Goa, India",Yes,9,541.88,reasonable,0.83
39647,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,20000,219000,10.95,0.18,,"Aurobindo Unit III, India",Yes,2675,9656.19,expensive,361.35
77293,South Africa,PMO - US,Direct Drop,DDP,Air,0,No,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",Nevirapine,Generic,10mg/ml,Oral suspension,240,10000,31500,3.15,0.01,,"Aurobindo Unit III, India",Yes,3869,4088.43,reasonable,67.91
42334,Sudan,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,N/A,Test kit,25,60,1200,20,0.8,,"Standard Diagnostics, Korea",Yes,353,3843.25,reasonable,2.59
34718,Cote d'Ivoire,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Pediatric,LAWRENCE LABORATORIES (SUBSIDIARY OF BRISTOL MYERS SQUIBB),"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",Didanosine,Videx,25mg,Chewable/dispersible tablet,60,1515,10605,7,0.12,0.5,Bristol-Myers Squibb Anagni IT,Yes,338,2864.63,reasonable,10.9
72776,Guyana,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20,1975,63200,32,1.6,,"Trinity Biotech, Plc",Yes,659,9106.51,expensive,104.28
28617,Cote d'Ivoire,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,1384,110720,80,0.8,,"Alere Medical Co., Ltd.",Yes,661,13740.74,expensive,182.69
37157,Mozambique,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,120,9600,80,0.8,,Inverness Japan,Yes,55,3267.66,reasonable,15.84
54676,South Africa,PMO - US,Direct Drop,DDP,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine 150mg, tablets, 60 Tabs",Lamivudine,Generic,150mg,Tablet,60,67120,169813.6,2.53,0.04,,"Aurobindo Unit III, India",Yes,3230,4116.81,reasonable,366.12
39242,Kenya,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,3,240,80,0.8,,Inverness Japan,Yes,1411,13150.21,expensive,0.52
21557,Zimbabwe,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,846,26073.72,30.82,0.1,,ABBVIE (Abbott) Logis. UK,Yes,798,9299.26,expensive,36.56
46005,Rwanda,PMO - US,Direct Drop,CIP,Air,0,No,ARV,Pediatric,CIPLA LIMITED,"Lamivudine 10mg/ml, oral solution, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,9565,18651.75,1.95,0.01,,"Cipla, Goa, India",Yes,6490,3010.89,reasonable,26.15
38308,Haiti,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 50mg, dispersible tablets (tablets for oral suspension), 30 Tabs",Nevirapine,Generic,50mg,Chewable/dispersible tablet,30,2303,2878.75,1.25,0.04,,"Aurobindo Unit III, India",Yes,143,2251.42,reasonable,3.39
57087,Uganda,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Atazanavir/Ritonavir 300/100mg, tablets, 30 Tabs",Atazanavir/Ritonavir,Generic,300/100mg,Tablet,30,3115,62300,20,0.67,,Mylan (formerly Matrix) Nashik,Yes,420,2335.73,reasonable,64.04
67776,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,STRIDES ARCOLAB LIMITED,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,672,940.8,1.4,0.02,,"Strides, Bangalore, India.",Yes,32,1701.1,reasonable,2.03
78329,Cote d'Ivoire,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20,2424,70296,29,1.45,,Chembio Diagnostics Sys. Inc.,Yes,621,7811.66,expensive,98.55
21843,South Africa,PMO - US,Direct Drop,DDP,Ocean,0,No,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,50000,421000,8.42,0.14,,"Aurobindo Unit III, India",Yes,4603,8033.13,expensive,694.65
23939,South Africa,PMO - US,Direct Drop,DDP,Ocean,0,No,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,249500,1125245,4.51,0.15,0.12,"Aurobindo Unit III, India",Yes,21205,25129.15,expensive,1856.65
81909,Nigeria,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,3031,269759,89,0.89,,"Alere Medical Co., Ltd.",Yes,1231,20705.23,expensive,333.69
63579,South Sudan,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20,125,4000,32,1.6,,"Trinity Biotech, Plc",Yes,41,1441.21,reasonable,4.95
60811,Uganda,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",Ritonavir,Norvir,100mg,Capsule,336,15,575.4,38.36,0.11,,ABBVIE (Abbott) Logis. UK,Yes,53,708.2,reasonable,1.24
7122,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,STRIDES ARCOLAB LIMITED,"Stavudine 30mg, capsules, 60 Caps",Stavudine,Generic,30mg,Capsule,60,9275,13448.75,1.45,0.02,,"Strides, Bangalore, India.",Yes,432,7444.35,expensive,21.52
40373,Tanzania,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20,30,960,32,1.6,,"Trinity Biotech, Plc",Yes,10,910.73,reasonable,1.58
72193,South Africa,PMO - US,Direct Drop,DDP,Ocean,0,No,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,64260,289812.6,4.51,0.15,,"Aurobindo Unit III, India",Yes,5623,630.5,reasonable,624.84
39933,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,150/300mg,Tablet - FDC,60,16800,109032,6.49,0.11,,Mylan (formerly Matrix) Nashik,Yes,1456,2984,reasonable,112.08
62403,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test - Ancillary,"Orgenics, Ltd","Chase Buffer, Determine, 100 Tests, 2.5ml x 1 Vial","Chase Buffer, Determine, 100 Tests, 2.5ml x 1 Vial",Determine,N/A,Test kit - Ancillary,1,3511,17555,5,5,,"Alere Medical Co., Ltd.",Yes,981,22892.07,expensive,21.72
58958,Tanzania,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,68,2095.76,30.82,0.1,,ABBVIE (Abbott) Logis. UK,Yes,116,1818.56,reasonable,2.94
35678,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, DoubleCheck Gold Kit, 20 Tests","HIV 1/2, DoubleCheck Gold Kit",DoubleCheck,N/A,Test kit,20,196,7157.92,36.52,1.83,,"Alere Medical Co., Ltd.",Yes,47,4449.1,reasonable,10.04
20432,South Africa,PMO - US,Direct Drop,DDP,Ocean,1,Yes,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,600mg,Tablet,30,106589,480716.39,4.51,0.15,,"Aurobindo Unit III, India",Yes,9061,9323.3,expensive,793.18
3050,Cote d'Ivoire,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100,1116,78120,70,0.7,,Inverness Japan,Yes,255,5303.05,expensive,124.99
34781,South Africa,PMO - US,Direct Drop,DDP,Ocean,0,No,ARV,Adult,Aurobindo Pharma Limited,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,54245,360729.25,6.65,0.22,,"Aurobindo Unit III, India",Yes,5063,10748.74,expensive,595.2
140,Tanzania,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,N/A,Test kit,25,10000,200000,20,0.8,,"Standard Diagnostics, Korea",Yes,3335,28359.8,expensive,320
70230,Rwanda,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,N/A,Test kit,100,5085,355950,70,0.7,,Inverness Japan,Yes,1154,46723.42,expensive,697.66
1162,Cote d'Ivoire,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,BIO-RAD LABORATORIES (FRANCE),"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests","HIV, Genie II HIV-1/HIV-2 Kit",Genie,N/A,Test kit,40,1000,110000,110,2.75,,Bio-Rad Laboratories,Yes,1101,8074.03,expensive,215.6
50901,Uganda,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,6000,480000,80,0.8,,"Alere Medical Co., Ltd.",Yes,2432,23178.68,expensive,493.44
43390,South Africa,PMO - US,Direct Drop,DDP,Air,0,No,ARV,Pediatric,GLAXOSMITHKLINE EXPORT LIMITED,"Abacavir 20mg/ml [Ziagen], oral solution, Bottle, 240 ml",Abacavir,Ziagen,20mg/ml,Oral solution,240,60000,601200,10.02,0.04,,GSK Mississauga (Canada),Yes,22956,27372.24,expensive,991.98
69925,Kenya,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,N/A,Test kit,25,15304,306080,20,0.8,,"Standard Diagnostics, Korea",Yes,5102,33718.08,expensive,505.03
21752,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Didanosine 250mg, delayed-release capsules, 30 Caps",Didanosine,Generic,250mg,Delayed-release capsules,30,252,3276,13,0.43,,"Aurobindo Unit III, India",Yes,1553,13320.8,expensive,7.06
17717,Guyana,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,HETERO LABS LIMITED,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",Emtricitabine/Tenofovir Disoproxil Fumarate,Generic,200/300mg,Tablet - FDC,30,3715,20766.85,5.59,0.19,,Hetero Unit III Hyderabad IN,Yes,385,3248.6,reasonable,24.44
15772,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,30000,313500,10.45,0.17,,"Aurobindo Unit III, India",Yes,10210,17392.05,expensive,517.28
15813,Mozambique,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,HETERO LABS LIMITED,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,23040,186854.4,8.11,0.14,,Hetero Unit III Hyderabad IN,Yes,3138,16537.12,expensive,192.09
67191,Uganda,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",Ritonavir,Norvir,100mg,Capsule,336,44,1687.84,38.36,0.11,,ABBVIE (Abbott) Logis. UK,Yes,116,985.78,reasonable,3.31
19512,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,600/300/300mg,Tablet - FDC,30,5451,76859.1,14.1,0.47,,Mylan (formerly Matrix) Nashik,Yes,1675,3401.49,reasonable,126.82
8737,Namibia,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,N/A,Test kit,20,650,20800,32,1.6,,"Trinity Biotech, Plc",Yes,278,7936.81,expensive,40.77
5364,Cote d'Ivoire,PMO - US,Direct Drop,CIP,Air,0,No,ARV,Pediatric,BRISTOL-MYERS SQUIBB,"Didanosine 50mg [Videx], chewable tablets, 60 Tabs",Didanosine,Videx,50mg,Chewable/dispersible tablet,60,1577,14981.5,9.5,0.16,,"BMS Meymac, France",Yes,309,,,23.97
56996,Zimbabwe,PMO - US,Direct Drop,EXW,Air,1,Yes,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,2450,176400,72,0.72,0.24,Inverness Japan,Yes,1183,21170.3,expensive,380.32
32892,Mozambique,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,HETERO LABS LIMITED,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,33216,269381.76,8.11,0.14,,Hetero Unit III Hyderabad IN,Yes,4516,16537.11,expensive,276.92
42275,Guyana,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,507,36504,72,0.72,,Inverness Japan,Yes,67,4400.85,reasonable,71.55
76517,Vietnam,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,150/300/200mg,Tablet - FDC,60,42000,461580,10.99,0.18,,Mylan (formerly Matrix) Nashik,Yes,5941,19632.73,expensive,761.61
73918,Zimbabwe,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,2499,199920,80,0.8,,Inverness Japan,Yes,1191,23808.37,expensive,329.87
51016,Nigeria,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,6360,566040,89,0.89,,"Alere Medical Co., Ltd.",Yes,2579,28759.53,expensive,666.23
41146,Zimbabwe,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,N/A,Test kit,25,2000,40000,20,0.8,,"Standard Diagnostics, Korea",Yes,624,4756.06,reasonable,78.4
41399,Haiti,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Adult,HETERO LABS LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,384,1363.2,3.55,0.12,,Hetero Unit III Hyderabad IN,Yes,42,2391.08,reasonable,1.4
19431,Cote d'Ivoire,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,N/A,Test kit,25,1400,28700,20.5,0.82,,"Standard Diagnostics, Korea",Yes,437,5924.89,expensive,29.5
80217,South Africa,PMO - US,Direct Drop,DDP,Air,0,No,ARV,Pediatric,Aurobindo Pharma Limited,"Lamivudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",Lamivudine,Generic,10mg/ml,Oral solution,240,11644,34932,3,0.01,,"Aurobindo Unit III, India",Yes,4442,3283.59,reasonable,75.31
45729,South Africa,PMO - US,Direct Drop,DDP,Ocean,0,No,ARV,Adult,Aurobindo Pharma Limited,"Zidovudine 300mg, tablets, 60 Tabs",Zidovudine,Generic,300mg,Tablet,60,92887,678075.1,7.3,0.12,,"Aurobindo Unit III, India",Yes,4810,6599.86,expensive,1118.82
14571,Nigeria,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,2744,244216,89,0.89,,"Alere Medical Co., Ltd.",Yes,1303,28734.43,expensive,342.39
27026,South Africa,PMO - US,Direct Drop,DDP,Air,1,Yes,ARV,Adult,CIPLA LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,300mg,Tablet,30,2016,15765.12,7.82,0.26,,"Cipla, Goa, India",Yes,136,1881.24,reasonable,33.99
75729,Nigeria,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,2891,257299,89,0.89,,Inverness Japan,Yes,1378,31201.82,expensive,424.54
3956,Vietnam,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Adult,Hoffmann-La Roche ltd Basel,"Nelfinavir (as mesilate) 250mg [Viracept], tablets, 270 Tabs",Nelfinavir (as mesilate),Viracept,250mg,Tablet,270,200,32688,163.44,0.61,,Roche Madrid,Yes,54,13981.96,expensive,
79803,Nigeria,PMO - US,Direct Drop,EXW,Air,1,Yes,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,5903,525367,89,0.89,,"Alere Medical Co., Ltd.",Yes,3473,35117.35,expensive,540.08
13903,Tanzania,PMO - US,Direct Drop,EXW,Air,0,No,ARV,Pediatric,Aurobindo Pharma Limited,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,50mg,Capsule,30,5925,9243,1.56,0.05,,"Aurobindo Unit III, India",Yes,394,3245.39,reasonable,11.43
31750,Uganda,PMO - US,Direct Drop,CIP,Air,0,No,ARV,Adult,ASPEN PHARMACARE,"Darunavir 300mg [Prezista], tablets, 120 Tabs",Darunavir,Prezista,300mg,Tablet,120,807,53746.2,66.6,0.55,,"Aspen-OSD, Port Elizabeth, SA",Yes,119,321.94,reasonable,55.25
49498,Uganda,PMO - US,Direct Drop,CIP,Air,0,No,ARV,Adult,MERCK SHARP & DOHME IDEA GMBH (FORMALLY MERCK SHARP & DOHME B.V.),"Raltegravir 400mg [Isentress], tablets, 60 Tabs",Raltegravir,Isentress,400mg,Tablet,60,390,21645,55.5,0.92,0.75,"MSD, Haarlem, NL",Yes,39,433,reasonable,30.35
29274,Kenya,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, (no accessories), 30 Tests","HIV 1/2, Bioline 3.0 Kit (no accessories)",Bioline,N/A,Test kit,30,12000,288000,24,0.8,,"Standard Diagnostics, Korea",Yes,3733,29039.18,expensive,564.48
62516,Vietnam,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",Lopinavir/Ritonavir,Aluvia,200/50mg,Tablet,120,7078,430483.96,60.82,0.51,,ABBVIE Ludwigshafen Germany,Yes,1724,5248.47,expensive,603.54
53665,Cote d'Ivoire,PMO - US,Direct Drop,FCA,Air,0,No,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,80/20mg/ml,Oral solution,300,600,18492,30.82,0.1,,ABBVIE (Abbott) Logis. UK,Yes,554,5848.39,expensive,19.01
63749,Nigeria,PMO - US,Direct Drop,EXW,Air,1,Yes,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,3040,270560,89,0.89,,"Alere Medical Co., Ltd.",Yes,1235,13383.47,expensive,334.68
77113,Cote d'Ivoire,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,N/A,Test kit,20,1230,38130,31,1.55,,Chembio Diagnostics Sys. Inc.,Yes,357,5640.23,expensive,44.88
52049,Kenya,PMO - US,Direct Drop,EXW,Air,0,No,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,N/A,Test kit,100,10000,890000,89,0.89,,Inverness Japan,Yes,2951,31923.61,expensive,1468.5
